"","IT1","IT2","IT3","IT4","IT5","IT6","IT7","IT8","IT9","IT10","IT11","IT12","IT13","IT14","IT15","IT16","IT17","IT18","IT19","IT20","IT21","IT22","IT23","IT24","IT25","IT26","IT27","ST1","ST2","ST3","ST4","ST5","ST6","ST7","ST8","ST9","ST10","ST11","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST19","ST20","ST21","ST22","ST23","ST24","ST25","ST26","ST27","ST28","ST29","ST30"
"Abditibacteriota",0,0,0,0.000222380359366661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacteriota",0.00517388172113432,0.00320473314433625,0.00200868314961518,0.00431417897171322,0.00246678068675174,0.00268607573000607,0.012113629254699,0.0143379522709777,0.0293002974856351,0.00211327134404058,0.00291545189504373,0.00230115428868352,0.0217355326308821,0.00245743373705459,0.00432619923386251,0.00234658517285601,0.00337484551763476,0.00265794316090779,0.00342371952889619,0.00531154452201317,0.0291382185351528,0.0571999600279804,0.00635880624010852,0.00513634275692154,0.0174190562038639,0.00209899113006974,0.00876043577552319,0.000372067674393621,0.000489601790543691,0.000823723228995058,0.00192294245157681,0.0026882881326654,0.000769329401205283,0.000432862955588261,0.00115861946035071,0.00469192195025073,0.000965317520512997,0.00173236600369645,0.00428393699678411,0.0035112038630859,0.002759777121797,0.00190739509326987,0.00126353997955363,0.00320830007980846,0.00473352533576663,0.0014808831448573,0.000618886348398632,0.00238688902532232,0.00065739107279566,0.000336879930378148,0.000167048257293622,0.00143183771424865,0.000967649082264462,0.000775728436801298,0.00765392484434566,0.00125044325413859,0.000559024797682349
"Actinomycetota",0.00170279651581636,0.00178725502280291,0.000909193425615291,0.00378046610923323,0.00210498618602815,0.00135747913236866,0.00241703870105497,0.0444160343121082,0.00160968254615102,0.00171879402648633,0.00164461388951185,0.00115057714434176,0.0023445688751586,0.00400210637177462,0.00268719864305998,0.00158258069797266,0.00185378838292613,0.00304130034757718,0.00279375513557929,0.00166964071418882,0.00379275393765735,0.00245328270210852,0.00155437485869319,0.00434292395707187,0.00299656491339197,0.00206513643442345,0.00318220957657894,0.00064980833274379,0.000442973048587149,6.14718827608252e-05,0.000154834327269821,0.000129556054586284,0.000320553917168868,0.000259717773352956,0.000200530291214545,0.000397199741820168,0.000741225953251052,0.000193098121431133,0.000598577498180794,0.000236111322680397,0.000698677752353671,0.00041997690127043,0.000124056652537992,9.04495876562916e-05,0.000370697767258833,0.000726978998384491,0.000670460210765184,0.000175414416559121,0.000665712478780415,0.00106678644619747,0.000137569153065336,5.0268368223905e-05,6.12436128015482e-05,7.67785824820398e-05,0.000647639794521556,0.000503909968085702,3.94605739540482e-05
"Armatimonadota",0,6.16294835449279e-05,0,4.44760718733321e-05,6.57808183133798e-05,0,5.68714988483522e-05,1.37468382272077e-05,0,0,0,3.711539175296e-05,2.758316323716e-05,0,0,0,4.75330354596445e-05,7.66714373338786e-05,2.73897562311695e-05,0.000114787799100481,2.67513992467995e-05,0,0,0.000208794421013071,4.87246327380807e-05,0,0,5.24038978019185e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32856239390207e-05,0,0,0,0,2.64753732696689e-06,0,0,0
"Bacillota",0.0151614382081341,0.018396400838161,0.00561726480787122,0.0126312044120263,0.0187475332193132,0.0171851081650926,0.0150425114453891,0.00599362146706258,0.0124495700721301,0.0195548041701888,0.0134559318232788,0.0171101955981145,0.0191978816130634,0.0226434965771459,0.011816050770902,0.0176266746705231,0.008555946382736,0.0138264158658761,0.0200493015612161,0.0325997349445366,0.00249382488534053,0.00254821624862596,0.0111632376215239,0.0197937111120391,0.00723560796160499,0.019398740605322,0.0194301972969937,0.00377570083662823,0.00101417513755479,0.000276623472423713,0.000349625900286693,0.000626187597167041,0.00198743428644698,0.000887369058955935,0.00135914975156525,0.00181222382205452,0.00184444597669448,0.000590328542660892,0.00306330837304289,0.000624552530961049,0.00305671516654731,0.00152241626710531,0.000140138070459584,0.000335195530726257,0.0018249736234281,0.00236941303177167,0.00173632003300727,0.0264687824986531,0.000698998102719435,0.00154403301423318,0.00171961441331669,0.000212424394752631,0.000183730838404645,0.000169442388925881,0.00231089653954283,0.00216494652955339,0.00016113067697903
"bacterium SCSIO (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6628741956542e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidota",0.0350383129216059,0.0491803278688525,0.0144343266330242,0.036759473403309,0.0360478884357321,0.0324062039684603,0.0385873119686069,0.0312465632904432,0.0873507477892335,0.0257255564947873,0.0236973910443298,0.0313996214230041,0.0730677994152369,0.0378444795506407,0.031750871910198,0.0305874648694371,0.0253588744177203,0.0450572480065426,0.03957819775404,0.0387982760959626,0.0190618581521917,0.0347206955131408,0.0408376667420303,0.0597569632939408,0.166881867127927,0.030638499559889,0.0455617535846655,0.00478971625909535,0.0118786720134291,0.00454891932430106,0.00732715993886541,0.010267317325963,0.031414283882549,0.0145225521599861,0.0110291660168,0.0211757112357877,0.016755154106047,0.0106203966787123,0.0272528813877609,0.00565143875576949,0.0387766152556287,0.0218387988660624,0.00295898089757285,0.00503325352487364,0.0260343893467165,0.0235595045772752,0.0177242173666386,0.0088709576374184,0.0110258629298006,0.0231604952134977,0.734914068411175,0.00327393017561498,0.00300501993479597,0.00416457621531892,0.0242570541220801,0.0325488512719061,0.00177243744676933
"Balneolota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55571457779595e-05,0,0.000104352544636801,0,0,0,0,0,0,0,0,5.82859274456775e-05,0,0,0,0,0,0,2.48249838637605e-05,0,1.10341783674933e-05,3.52104410694585e-05,0,0,0,0,0,0,0,0,0,0,0,0.000923678599152967,3.24312053057452e-06,8.16581504020643e-06,2.64753732696689e-06,0,0,0
"Bdellovibrionota",0.000327460868426223,0.000369776901269567,7.75281215640946e-05,0.000289094467176659,0.000361794500723589,0.000115530138924992,0.000454971990786817,0.000109974705817662,0.000244508741187497,0.000169061707523246,4.98367845306621e-05,0.0001855769587648,0.000717162244166161,0.000386168158680007,0.000228697756856168,0.000300144615132746,0.000142599106378933,0.000971171539562462,0.000794302930703917,0.000156528816955201,4.75580431054213e-05,4.9965024482862e-05,0.000339136332805788,0.000668142147241826,0.000121811581845202,0.000203128173877717,0.000411815356969039,1.31009744504796e-05,1.16571854891355e-05,0,5.49412129021947e-05,0,0.00205154506988075,0.0011687299800883,0.000133686860809697,0,0.000103426877197821,2.20683567349866e-05,8.21576958287364e-05,3.8082471400064e-05,0.000104801662853051,0.000139992300423477,0,0,0.00028515212866064,0.00131933225632741,0.000945520810053465,2.50592023655887e-05,1.66428119695104e-05,5.61466550630246e-05,1.96527361521908e-05,8.1078013264363e-06,0,3.97130599045033e-06,4.41572587173788e-05,5.59899964539669e-05,3.28838116283735e-06
"Calditrichota",0,3.08147417724639e-05,2.81920442051253e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73897562311695e-05,1.04352544636801e-05,0,4.9965024482862e-06,0,0,0,0,0,0,0,0,9.98931143676266e-06,0,0,0,0,0,0,0,9.38945095185559e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacterota",0.00288165564215076,0.00194132873166523,0.000704801105128133,0.00260185020458993,0.00289435600578871,0.00245501545215608,0.00284357494241761,0.00147091169031123,0.0047679204531562,0.00107072414764722,0.00139542996685854,0.0014846156701184,0.0253765101781872,0.00263296471827278,0.00263002420384593,0.00229201342465006,0.00209145356022436,0.00419137190758536,0.00717611613256642,0.106470901292928,0.00125731576459958,0.000339762166483462,0.00135654533122315,0.00329895185200651,0.0039223329354155,0.00595842643374636,0.00213395230429411,0.000298702217470935,0.00212160775902266,0.000270476284147631,0.000289690031666117,0.000561409569873899,0.00294909603795358,0.00157994978789715,0.00131458746462868,0.00168809890273571,0.00168930566089775,0.000617913988579625,0.00362667543015422,0.000418907185400704,0.00524008314265253,0.00185489798061107,0.000296357558840759,0.000218143123171056,0.00191051926202629,0.00406569736133549,0.00165036359572968,0.00169776096026863,0.00247977898345704,0.00109485977372898,0.00134621242642507,0.000442685952423422,0.000167399208324232,0.000255487352052305,0.000927302433064955,0.00375132976241578,0.000134823627676331
"Candidatus Aminicenantes",0,0,5.63840884102506e-05,0,0,0,5.68714988483522e-05,0,0,5.63539025077487e-05,0,7.42307835059199e-05,5.51663264743201e-05,0,0,0,0,0,0.000410846343467543,0,6.83646869640431e-05,0,5.6522722134298e-05,0,0,0,0,1.04807795603837e-05,1.16571854891355e-05,0,0,0,0,0,0,0,0,0,0,0,3.49338876176835e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57676232567469e-06
"Candidatus Bipolaricaulota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05304207995102e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Cloacimonadota",0,9.24442253173918e-05,0,0.000155666251556663,3.28904091566899e-05,2.8882534731248e-05,5.68714988483522e-05,0,0,2.81769512538743e-05,0,0,0.00022066530589728,0.000140424784974548,3.81162928093614e-05,5.45717482059538e-05,0,0,2.73897562311695e-05,1.04352544636801e-05,0,0,0,8.35177684052282e-05,7.30869491071211e-05,0,0,0,0,6.14718827608252e-06,0,4.31853515287614e-05,0,0,0,2.48249838637605e-05,0,2.20683567349866e-05,2.3473627379639e-05,0,1.74669438088418e-05,0,0,5.32056397978186e-06,5.70304257321281e-05,0,0,0,8.32140598475518e-06,8.42199825945369e-05,0,0,0,0,0,3.73266643026446e-05,0
"Candidatus Delongbacteria",0,9.24442253173918e-05,0,2.22380359366661e-05,0,0,0,0,0,0,0,3.711539175296e-05,8.27494897114801e-05,0,0,8.18576223089307e-05,0,2.55571457779595e-05,0,2.08705089273602e-05,0,0,0,4.17588842026141e-05,0,0,7.48755194489162e-05,0,2.3314370978271e-05,0,0,0,0,0,0,0,0,0,1.17368136898195e-05,0,0,1.74990375529346e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Eisenbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75580431054213e-05,0.000799440391725792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Falkowbacteria",0,0,0,0,6.57808183133798e-05,0,0,8.24810293632465e-05,0,0,0,0,0,0.000561699139898192,0,0,0,0,0,0,2.97237769408883e-06,9.9930048965724e-06,0,8.35177684052282e-05,0,0,0,0,0,0,0,0,0,0,4.45622869365656e-05,9.9299935455042e-05,0,1.10341783674933e-05,4.6947254759278e-05,2.28494828400384e-05,3.49338876176835e-05,0.000559969201693907,0,0,0.000228121702928512,5.3850296176629e-05,1.71912874555175e-05,0,1.66428119695104e-05,0.000168439965189074,0,3.24312053057452e-06,0,0,0,7.46533286052892e-05,1.31535246513494e-05
"Candidatus Giovannonibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45856654113325e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Gottesmanbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60814179215916e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Hydrogenedentota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86409100231548e-05,0,5.6522722134298e-05,0,0.000243623163690404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Kaiserbacteria",0,0,1.40960221025627e-05,0,0,0,0,0,0,0,0,0,0,0,1.90581464046807e-05,0,0,0,0,0,0.00164669724252521,9.49335465174378e-05,0,0,0,0,0,2.62019489009593e-06,0,0,0,4.31853515287614e-05,0,0,0,0,0,0,0,0,0,0,0.000107975234616401,0,2.8515212866064e-05,0,0,0,0,0,0,0,0,0,8.83145174347576e-05,0,0
"Candidatus Latescibacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7834266164533e-05,3.99720195862896e-05,0,0,0.000389797061904646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75580431054213e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Moduliflexota",0,0,0,0,0,0,0,8.24810293632465e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Neomarinimicrobiota",0.000327460868426223,0.000277332675952176,4.2288066307688e-05,0.000155666251556663,0.000197342454940139,0,0.000341228993090113,8.24810293632465e-05,2.03757284322915e-05,5.63539025077487e-05,0.000149510353591986,7.42307835059199e-05,0.00033099795884592,0.000210637177461822,0.000343046635284252,0.000163715244617861,9.50660709192889e-05,0.000153342874667757,0.000301287318542865,0.000166964071418882,8.61989531285761e-05,0.00099930048965724,5.6522722134298e-05,0.000542865494633983,0.000194898530952323,0,0.000149751038897832,1.31009744504796e-05,0,0,0,1.07963378821904e-05,0,0,0,0,3.4475625732607e-05,0,2.3473627379639e-05,0,0.000139735550470734,0,0,0,0.000114060851464256,0,0,1.25296011827944e-05,0,5.61466550630246e-05,1.96527361521908e-05,9.72936159172356e-06,0,1.98565299522517e-05,0,0,0
"Candidatus Nomurabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3502798493599e-05,5.49615269311482e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52707995910725e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Omnitrophota",0.000654921736852446,0.00114014544558117,0.0134757971300499,0.00260185020458993,0.0022694382318116,0.00109753631978742,0.0011943014758154,0.0126608380072583,0.000448266025510412,0.000929839391377853,0.00446039221549426,0.000890769402071039,0.000965410713300601,0.000842548709847288,0.000686093270568504,0.000709432726677399,0.000665462496435022,0.00155898589245553,0.00139687756778965,0.00151311189723361,0.000540972740324168,0.213005895872889,0.00113045444268596,0.00154507871549672,0.000779594123809292,0.00159117069537545,0.00119800831118266,1.04807795603837e-05,0.00033805837918493,0.00119870171383609,7.491983577572e-05,8.63707030575229e-05,0.000384664700602641,0.000303004068911783,0.000378779438960807,0.000148949903182563,0.000224091567261946,7.72392485724532e-05,0.00046947254759278,0.000479839139640806,0.000506541370456411,0.00022748748818815,1.83787633389618e-05,7.98084596967278e-05,0.00028515212866064,0.000323101777059774,0.000446973473843456,0.000169149615967724,0.000116499683786573,5.61466550630246e-05,0.000117916416913145,0.000381066662342506,8.36996041621159e-05,0.000426253509641669,0.000426853500934662,0.000354603310875124,2.63070493026988e-05
"Candidatus Paceibacterota",0,0,0,0,0,0,0,2.74936764544155e-05,0,0,0,0,0,0,7.62325856187227e-05,0,0,0,0,0,0.000451801409501503,0.000124912561207155,0,0,0,0,0,0,0,0,0,0,0,0,4.45622869365656e-05,0,0,0,0,0,0,0,3.21628358431832e-05,0,0,2.69251480883145e-05,0,0,0.000174749525679859,0,0,0,0,0,0.000206067207347768,0,0
"Candidatus Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9171330822665e-05,4.49685220345758e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Peregrinibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146173898214242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Poribacteria",0.00124435130001965,0.00123258967089856,0.00031716049730766,0.000756093221846647,0.000888041047230628,0.00106865378505618,0.000767765234452754,0.126580886396129,0.000590896124536452,0.000901662440123979,0.000598041414367945,0.00103923096908288,0.000882661223589121,0.00172020361593821,0.000457395513712336,0.000654860978471445,0.00102196026238236,0.000306685749335514,0.00104081073678444,0.000657421031211846,0.000202121683198041,0.000244828619966024,0.00121523852588741,0.00221322086273855,0.000828318756547372,0.000812512695510867,0.00179701246677399,0,2.3314370978271e-05,0,0,1.07963378821904e-05,6.41107834337736e-05,0,2.22811434682828e-05,0,0.000241329380128249,0,0.000105631323208375,2.28494828400384e-05,0.000174669438088418,0.000139992300423477,0,3.19233838786911e-05,5.70304257321281e-05,8.07754442649435e-05,0.000206295449466211,1.25296011827944e-05,4.99284359085311e-05,5.61466550630246e-05,7.36977605707155e-05,0,6.12436128015482e-06,5.29507465393378e-06,0.000500448932130293,9.33166607566115e-05,3.28838116283735e-06
"Candidatus Riflebacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194898530952323,0,0,0,0,0,4.99465571838133e-06,0,0,0,0,0,0,5.51708918374666e-06,0,0,0,0,2.06761087563321e-05,0,0,0,0,0,0,0,0,0,0,1.32376866348344e-06,0,0,0
"Candidatus Saccharibacteria",0,0,0,0,0,0,0,2.74936764544155e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.67513992467995e-05,0.000114919556310583,0,0,0,0,0,0,0,0,0,2.15926757643807e-05,0,0,0.000178249147746262,4.9649967727521e-05,0,1.10341783674933e-05,0.000164315391657473,9.13979313601535e-05,0,0,4.59469083474046e-05,0,0.000114060851464256,0,0,0,1.66428119695104e-05,0,1.47395521141431e-05,1.62156026528726e-06,2.04145376005161e-06,0,0,0,0
"Candidatus Schekmanbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389797061904646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Sumerlaeota",3.27460868426223e-05,0,4.93360773589693e-05,0.00011119017968333,3.28904091566899e-05,0,0.000113742997696704,0,4.07514568645829e-05,2.81769512538743e-05,0,0.00011134617525888,0.00016549897942296,7.0212392487274e-05,9.52907320234034e-05,8.18576223089307e-05,2.37665177298222e-05,0.000178900020445717,0.000109559024924678,1.04352544636801e-05,0.000142674129316264,1.49895073448586e-05,0,0.000250553305215685,0.00236314468779692,3.38546956462861e-05,7.48755194489162e-05,0.000859423923951464,0,0,0,0,0,0,0,0,3.4475625732607e-05,0,3.52104410694585e-05,0,3.49338876176835e-05,0,2.29734541737023e-06,0,5.70304257321281e-05,2.69251480883145e-05,3.43825749110351e-05,0,2.49642179542656e-05,0,0,3.24312053057452e-06,0,0,2.94381724782526e-05,0,0
"Candidatus Sungiibacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86409100231548e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Tectomicrobia",0,3.08147417724639e-05,2.81920442051253e-05,0,0,0,2.84357494241761e-05,0.000632354558451556,0,0,0,0,0,0,0,0,2.37665177298222e-05,0,0,0,2.37790215527107e-05,6.99510342760068e-05,0,0,0,0,0,5.24038978019185e-06,2.3314370978271e-05,0.000282770660699796,0.000129861048677915,8.63707030575229e-05,0,6.49294433382391e-05,0,0,0,7.17221593887065e-05,2.3473627379639e-05,0.000121863908480205,0,0,3.21628358431832e-05,0.000117052407555201,0,0,0,3.75888035483831e-05,3.32856239390207e-05,0,1.96527361521908e-05,0.000119995459631257,8.57410579221675e-05,0.000132376866348344,0,0,0.000124958484187819
"Candidatus Terrybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7834266164533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Uhrbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05304207995102e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Vogelbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86409100231548e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88763449565051e-05,0,0
"Candidatus Wolfebacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61989531285761e-05,0,0,0,0.000170536214583283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Yanofskybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94475538817766e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Zambryskibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30303179325776e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.06761087563321e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
